Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
PILA AA DURACELL,1.3,0,PAD-0001,7590000000001
ALIVE 500G,1.7,0,A5-0002,7590000000002
AXION 235G,0,0,A2-0003,7590000000003
CLORO,0.7,0,C-0004,7590000000004
PILA AAA DURACELL,1.2,0,PAD-0005,7590000000005
SUAVITEL 180 ML,0.9,0,S1M-0006,7590000000006
SUAVITEL BONA ROPA 1 LTS,2.5,0,SBR1L-0007,7590000000007
AXION 400 ML,5.0,0,A4M-0008,7590000000008
AXION 750 ML,8.0,0,A7M-0009,7590000000009
AJAX 160 ML,1.2,0,A1M-0010,7590000000010
FABULOSO 180 ML,1.4,0,F1M-0011,7590000000011
ALIVE FLORAL 500G,1.7,0,AF5-0012,7590000000012
ALIVE LIMON 500G,1.7,0,AL5-0013,7590000000013
ALIVE SUAVIZANTE 500G,1.7,0,AS5-0014,7590000000014
VANISH 130 ML,1.2,0,V1M-0015,7590000000015
JABON 3B 400G,1.0,0,J34-0016,7590000000016
OXY 400G,1.2,0,O4-0017,7590000000017
BONA ROPA 800G POLVO,4.0,0,BR8P-0018,7590000000018
PANOS AMARRILLO COCINA,1.6,0,PAC-0019,7590000000019
PANOS CON DIBUJOS COCINA,1.5,0,PCDC-0020,7590000000020
COLGATE KINS 50G,1.6,0,CK5-0021,7590000000021
COLGATE TRIPLE ACCION 60G,1.8,0,CTA6-0022,7590000000022
CEPILLO DE DIENTE,1.7,0,CDD-0023,7590000000023
JABON NATURAL FEELING 110G,1.1,0,JNF1-0024,7590000000024
JABON HUO AVENA 75G,0.65,0,JHA7-0025,7590000000025
JABON PROTEX AVENA 110G,2.0,0,JPA1-0026,7590000000026
JABON PROTEX CARBON 110 G,2.1,0,JPC1G-0027,7590000000027
PALMOLIVE NATURAL 85G,1.2,0,PN8-0028,7590000000028
LEMON 115G,1.2,0,L1-0029,7590000000029
JABON ESPECIAL 250G,1.2,0,JE2-0030,7590000000030
JABON LAS LLAVES 250G,1.3,0,JLL2-0031,7590000000031
GANCHO DE ROPA 20 UND MD,1.0,0,GDR2UM-0032,7590000000032
AROMAX SOBRE 10G,0.5,0,AS1-0033,7590000000033
ESPUMA DE AFEITAR 150G GILLET,8.0,0,EDA1G-0034,7590000000034
COLADOR DE CAFÉ,1.0,0,CDC-0035,7590000000035
PAPEL ROSAL 215H,1.4,0,PR2-0036,7590000000036
PAPEL ROSAL 300H,2.9,0,PR3-0037,7590000000037
PAPEL ROSAL 400H,3.5,0,PR4-0038,7590000000038
PAPEL ROSAL 600H,4.9,0,PR6-0039,7590000000039
TOALLIN 50H,1.5,0,T5-0040,7590000000040
AMBIENTADOR AEREOSOL BERNICE,3.0,0,AAB-0041,7590000000041
PALA GRANDE HAE,3.2,0,PGH-0042,7590000000042
RASTRILLO JARDIN HAE,4.5,0,RJH-0043,7590000000043
RASTRILLO PEQUEÑO HAE,3.5,0,RPH-0044,7590000000044
ESCOBA COLOMBIANA,3.8,0,EC-0045,7590000000045
LAMPAZO COLOMBIANO,3.8,0,LC-0046,7590000000046
PONCHERA 5 LITRS HAE,2.2,0,P5LH-0047,7590000000047
BOMBILLOS BRILLALUZ 20W,1.5,0,BB2-0048,7590000000048
BOMBILLO LIGHTFLY 12 W,1.0,0,BL1W-0049,7590000000049
DISPENSADOR DE AGUA ELECTRICO,6.0,0,DDAE-0050,7590000000050
RECLETA FELUZ 6 SALIDAS,3.5,0,RF6S-0051,7590000000051
LAMPARA 24W,6.5,0,L2-0052,7590000000052
HOJILLAS DORCO,0.5,0,HD-0053,7590000000053
CINTA DE EMBALAR SENCILLAS,1.0,0,CDES-0054,7590000000054
PAPEL ALUMINIO 5 METROS,1.6,0,PA5M-0055,7590000000055
PILLAS AA KINGCBOY,0.7,0,PAK-0056,7590000000056
PEGA TANQUE,2.0,0,PT-0057,7590000000057
ESPONJAS BRILLO JABONOSA,1.0,0,EBJ-0058,7590000000058
TEIPE COBRA,1.0,0,TC-0059,7590000000059
TEFLON GRANDE,1.0,0,TG-0060,7590000000060
VELAS PEQUENA,0.15,0,VP-0061,7590000000061
ENCHUFE 110,1.5,0,E1-0062,7590000000062
LIJAS,1.5,0,L-0063,7590000000063
CREMA DE ZAPATO MARRON,2.0,0,CDZM-0064,7590000000064
CREMA DE ZAPATO NEESPLASGRA,2.5,0,CDZN-0065,7590000000065
PALILLOS,0.25,0,P-0066,7590000000066
CEPILLO DE LAVAR,2.5,0,CDL-0067,7590000000067
PROTECROR 110 W,20.0,0,P1W-0068,7590000000068
PROTECTOR 220 W,20.0,0,P2W-0069,7590000000069
LAPIZ VDE CCOLONIASEJAS,1.8,0,LVC-0070,7590000000070
LAMPARA LED 100 W,2.5,0,LL1W-0071,7590000000071
LAMPARAB RELETA 100 W,6.0,0,LR1W-0072,7590000000072
TRITURADOR DE ALIMENTOS,7.5,0,TDA-0073,7590000000073
TOMACORRIENTE 110 W,3.0,0,T1W-0074,7590000000074
APAGADOR SENCILLO,3.0,0,AS-0075,7590000000075
APAGADOR DOBLE,3.0,0,AD-0076,7590000000076
TOMACJABON AZULORRIENTE SUPERFICIAL,2.5,0,TAS-0077,7590000000077
SOCATE PORCELANA,1.6,0,SP-0078,7590000000078
SOCATE NEGRO GOMA,0.8,0,SNG-0079,7590000000079
AGUA OXIGENADA 10 VOL PASARELA 480ML,5.0,0,AO1VP4-0080,7590000000080
AGUA OXIGENADA 20 VOL LOVIA 100ML,2.0,0,AO2VL1-0081,7590000000081
