ID,Nombre,Descripcion,Categoria,Stock_Total,Estado,Precio_Venta,SKU,Codigo_Barras
013a7894-0be1-4374-a610-819f4e20516c,crema de peinar hugme ,,Cuidado Personal,5,,"3,5",QC-1779379081812,6956088518170
01452215-dcc0-4124-825e-f45858d72bf9,Colgate kids 38ml,,Cuidado Personal,16,,"2,5",QC-1779373594811,7891024034095
082d763b-89dc-44b0-a583-db61eff002c7,champu drene 200 ml,,Cuidado Personal,3,,"5,5",QC-1779378639860,7590005008208
0897bef7-0b93-456f-984f-a317f89d9202,pega tanque,,Ferretería y Electricidad,6,,"2,5",QC-1779403760651,7594074604057
0b57d3e0-95b2-4210-ab76-77d982e64a59,apagador moderno doble,,Ferretería y Electricidad,7,,3,QC-1779403039212,4557152122471
0b6f0dd6-a7c2-4cba-a49c-0f6ef25a017a,nutribela sobre tratamiento capilar,,Cuidado Personal,15,,"1,2",QC-1779381606915,7702354949624
0cb30099-a6d0-437c-a4c3-636d18836ba7,Toallas mis princesas,,Cuidado Personal,6,,"1,4",QC-1779374676999,4557152121160
0e07fe75-abc1-4969-8e17-6f259b733f1d,desodorante bolita every night baby pink,,Cuidado Personal,2,,"3,2",QC-1779382638876,7590005162801
0ef649e8-9429-46a9-9375-61d9369d7d13,reflector de cable 100 w,,Ferretería y Electricidad,2,,6,QC-1779404512324,6710026412322
0f72e2fc-3cc3-4536-82c2-5f1a1460f927,termometro digital,,Salud y Farmacia,6,,3,QC-1779377480650,6914524513219
14dbc58d-a62d-43cc-ba21-286cdb48275a,mentol davey 18g,,Salud y Farmacia,5,,1,QC-1779400720359,6921199136674
16ab551f-f461-47c7-b073-4938e909e7d4,Sampoo Baby Finger Niños 200ml ,,Cuidado Personal,5,,"3,8",QC-1779375875114,7597597000801
19d9a49a-38ec-401e-9ab2-56f81e2d4ed1,agua oxigenada lovia 30vol,,Salud y Farmacia,2,,"2,9",SKU-1779400351460-0,6923748900095
1c5b9439-3657-4d97-8ab3-b017b5d700f8,novex blindagem protector termico,,Cuidado Personal,11,,2,QC-1779381144233,876120004958
1e04d180-ac16-4850-86a6-4dce9692261f,panales hugme xxg,,Cuidado Personal,2,,"3,9",QC-1779377310788,7592726008246
1e5fb62c-716e-43c0-8844-8d7d34bfceb6,tratamiento every night 350g,,Cuidado Personal,2,,8,QC-1779379279896,7590005164812
1ebdd217-6c76-4500-bffc-6fe3c11756e5,jeringas ,,Salud y Farmacia,5,,"0,7",QC-1779377799718,353410ML
21999673-afa5-40de-a581-7e00748dbcc7,motas algobap,,Cuidado Personal,5,,"2,9",QC-1779377882305,7599408000017
229ece16-d27b-4c44-8e34-c9c4ad5a4cf7,skala 1000g,,Cuidado Personal,7,,"8,4",QC-1779379862550,7897042016976
2392b915-37c0-4115-ba63-e21a15dfdfdb,inciencio en espiral antimosquitos,,Limpieza y Cuidado del Hogar,12,,"1,8",QC-1779402512424,6701125789095
253de6ed-4f24-4f9b-8c78-5412acdd27fc,gel para cabello 100g,,Cuidado Personal,1,,"2,5",QC-1779381022449,7709696714828
25413e09-65fb-4ce2-abf5-7cb0dc409f62,pega mosca,,Limpieza y Cuidado del Hogar,40,,"0,25",QC-1779402071221,6970081495009
2827f7f3-2240-4c8d-b38f-f87d65d42aec,pastilla mata rata ,,Limpieza y Cuidado del Hogar,6,,"0,6",QC-1779374526493,7892190356653
28da9498-7646-4b9e-84b7-ce71a653fa18,cepillo de planchar ,,Cosmética y Belleza,2,,"4,5",QC-1779287771111,9324134700218
2a54b3c4-9182-44e7-aa4d-b7001779056e,disco de corte de hierro ,,Ferretería y Electricidad,4,,5,QC-1779372814764,2000000410296
2a7d71e0-a0cf-4206-9c4d-d0264d9736c5,Toallas diaria hugme 20 unds,,Cuidado Personal,6,,1,QC-1779374902079,7592726002008
2b035a96-843c-4319-a8b7-fa5bb9e0b6e2,aceite corporal davey ,,Cuidado Personal,3,,"3,9",QC-1779381426705,6921199136643
2e0f9756-93b2-4595-afd1-908d50352120,desodorante sobre speed stick clinit,,Cuidado Personal,13,,"0,8",QC-1779382277928,7509546688299
2e1361f4-c016-4023-b2ff-347a8ae8be63,llave de agua de metal ,,Ferretería y Electricidad,6,,"3,5",SKU-1779403224112-0,
